[20-11-2018 17:13:16] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:17] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:13:19] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:13:20] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:13:21] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:13:22] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:24] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:13:25] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:13:26] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:13:28] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:33] thor_bjoernen reached 24 CPS, VL=1
[20-11-2018 17:13:33] Secret_Schultz reached 20 CPS, VL=1
[20-11-2018 17:13:33] lykkepedersen reached 28 CPS, VL=1
[20-11-2018 17:13:33] sorendam1 reached 25 CPS, VL=2
[20-11-2018 17:13:35] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:36] sorendam1 reached 30 CPS, VL=2
[20-11-2018 17:13:37] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:13:38] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:39] sorendam1 reached 26 CPS, VL=1
[20-11-2018 17:13:40] sorendam1 reached 27 CPS, VL=2
[20-11-2018 17:13:41] sorendam1 reached 20 CPS, VL=3
[20-11-2018 17:13:42] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:43] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:13:44] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:13:45] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:13:46] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:47] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:13:48] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:13:51] sorendam1 reached 18 CPS, VL=1
[20-11-2018 17:13:56] Bente_123 reached 23 CPS, VL=1
[20-11-2018 17:13:56] Secret_Schultz reached 24 CPS, VL=1
[20-11-2018 17:13:56] MagnuTP reached 28 CPS, VL=1
[20-11-2018 17:13:56] sorendam1 reached 38 CPS, VL=2
[20-11-2018 17:13:58] sorendam1 reached 47 CPS, VL=3
[20-11-2018 17:13:59] sorendam1 reached 40 CPS, VL=4
[20-11-2018 17:14:01] sorendam1 reached 40 CPS, VL=1
[20-11-2018 17:14:02] sorendam1 reached 37 CPS, VL=2
[20-11-2018 17:14:03] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:14:05] sorendam1 reached 34 CPS, VL=4
[20-11-2018 17:14:06] sorendam1 reached 18 CPS, VL=1
[20-11-2018 17:14:07] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:14:07] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:14:14] anderson207133 reached 45 CPS, VL=1
[20-11-2018 17:14:14] lykkepedersen reached 23 CPS, VL=1
[20-11-2018 17:14:14] Cr4zyD3rp reached 45 CPS, VL=1
[20-11-2018 17:14:14] Levino_ reached 20 CPS, VL=1
[20-11-2018 17:14:14] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:14:22] sorendam1 reached 37 CPS, VL=1
[20-11-2018 17:14:24] Secret_Schultz reached 18 CPS, VL=1
[20-11-2018 17:14:24] sorendam1 reached 45 CPS, VL=2
[20-11-2018 17:14:26] sorendam1 reached 29 CPS, VL=1
[20-11-2018 17:14:27] sorendam1 reached 28 CPS, VL=2
[20-11-2018 17:14:28] sorendam1 reached 33 CPS, VL=3
[20-11-2018 17:14:31] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:14:32] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:14:34] MagnuTP reached 20 CPS, VL=1
[20-11-2018 17:14:34] sorendam1 reached 49 CPS, VL=3
[20-11-2018 17:14:38] sorendam1 reached 38 CPS, VL=1
[20-11-2018 17:14:40] sorendam1 reached 30 CPS, VL=2
[20-11-2018 17:14:41] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:14:42] sorendam1 reached 18 CPS, VL=4
[20-11-2018 17:14:44] Mqssing reached 18 CPS, VL=1
[20-11-2018 17:14:46] sorendam1 reached 31 CPS, VL=1
[20-11-2018 17:14:47] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:14:49] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:14:49] sorendam1 reached 20 CPS, VL=4
[20-11-2018 17:14:53] Secret_Schultz reached 19 CPS, VL=1
[20-11-2018 17:14:53] Olimic reached 18 CPS, VL=1
[20-11-2018 17:14:53] sorendam1 reached 73 CPS, VL=1
[20-11-2018 17:14:54] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:14:56] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:15:01] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:15:02] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:15:03] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:15:05] sorendam1 reached 22 CPS, VL=4
[20-11-2018 17:15:06] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:15:07] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:15:08] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:15:10] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:15:11] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:15:12] sorendam1 reached 20 CPS, VL=3
[20-11-2018 17:15:13] sorendam1 reached 25 CPS, VL=4
[20-11-2018 17:15:14] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:15:15] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:15:16] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:15:18] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:15:19] sorendam1 reached 26 CPS, VL=2
[20-11-2018 17:15:20] sorendam1 reached 18 CPS, VL=3
[20-11-2018 17:15:26] anderson207133 reached 23 CPS, VL=1
[20-11-2018 17:15:26] Philipsd2007 reached 27 CPS, VL=1
[20-11-2018 17:15:26] sorendam1 reached 87 CPS, VL=1
[20-11-2018 17:15:27] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:15:29] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:15:30] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:15:31] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:15:32] sorendam1 reached 20 CPS, VL=4
[20-11-2018 17:15:33] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:15:34] sorendam1 reached 25 CPS, VL=2
[20-11-2018 17:15:35] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:15:47] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:15:48] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:15:49] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:15:50] sorendam1 reached 22 CPS, VL=4
[20-11-2018 17:15:55] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:15:58] Secret_Schultz reached 23 CPS, VL=1
[20-11-2018 17:15:58] Tobi2006Rex reached 37 CPS, VL=1
[20-11-2018 17:15:58] sorendam1 reached 75 CPS, VL=2
[20-11-2018 17:16:01] sorendam1 reached 26 CPS, VL=1
[20-11-2018 17:16:02] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:16:06] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:16:08] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:16:09] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:16:10] sorendam1 reached 29 CPS, VL=3
[20-11-2018 17:16:11] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:16:12] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:16:13] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:16:14] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:16:15] sorendam1 reached 27 CPS, VL=4
[20-11-2018 17:16:20] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:16:21] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:16:22] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:16:24] sorendam1 reached 21 CPS, VL=4
[20-11-2018 17:16:24] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:16:25] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:16:26] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:16:27] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:16:32] anderson207133 reached 18 CPS, VL=1
[20-11-2018 17:16:32] Secret_Schultz reached 30 CPS, VL=1
[20-11-2018 17:16:32] MagnuTP reached 31 CPS, VL=1
[20-11-2018 17:16:32] daniel1639 reached 27 CPS, VL=1
[20-11-2018 17:16:32] Tobi2006Rex reached 30 CPS, VL=1
[20-11-2018 17:16:32] sorendam1 reached 62 CPS, VL=1
[20-11-2018 17:16:33] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:16:34] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:16:46] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:16:47] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:16:49] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:16:50] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:16:51] sorendam1 reached 20 CPS, VL=3
[20-11-2018 17:16:55] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:16:57] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:16:57] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:17:01] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:17:07] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:17:08] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:17:14] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:17:16] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:18:36] _GoldenBoy_1 reached 19 CPS, VL=1
[20-11-2018 17:19:41] _tryhard_v2 reached 51 CPS, VL=1
[20-11-2018 17:19:41] Wolf4Ever reached 24 CPS, VL=1
[20-11-2018 17:19:41] tobias20007 reached 75 CPS, VL=1
[20-11-2018 17:19:41] Itzpandapvpmc reached 46 CPS, VL=1
[20-11-2018 17:19:41] Cr4zyD3rp reached 18 CPS, VL=1
[20-11-2018 17:19:41] Olimic reached 21 CPS, VL=1
[20-11-2018 17:19:41] MagnuTP reached 26 CPS, VL=1
[20-11-2018 17:19:41] daniel1639 reached 19 CPS, VL=1
[20-11-2018 17:19:41] GamerMathias10 reached 18 CPS, VL=1
[20-11-2018 17:19:41] Mqssing reached 23 CPS, VL=1
[20-11-2018 17:20:13] KobberKnubben reached 18 CPS, VL=1
[20-11-2018 17:20:13] RubenMogensen reached 18 CPS, VL=1
[20-11-2018 17:20:13] Mqssing reached 21 CPS, VL=1
[20-11-2018 17:20:46] KobberKnubben reached 30 CPS, VL=1
[20-11-2018 17:20:46] Secret_Schultz reached 24 CPS, VL=1
[20-11-2018 17:21:18] RubenMogensen reached 19 CPS, VL=1
[20-11-2018 17:21:18] Philipsd2007 reached 19 CPS, VL=1
[20-11-2018 17:21:18] Itzpandapvpmc reached 29 CPS, VL=1
[20-11-2018 17:21:49] KobberKnubben reached 24 CPS, VL=1
[20-11-2018 17:22:40] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:22:41] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:22:43] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:22:44] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:22:45] sorendam1 reached 21 CPS, VL=3
[20-11-2018 17:22:46] sorendam1 reached 18 CPS, VL=4
[20-11-2018 17:22:48] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:22:49] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:22:50] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:22:54] Secret_Schultz reached 19 CPS, VL=1
[20-11-2018 17:22:54] Philipsd2007 reached 21 CPS, VL=1
[20-11-2018 17:22:54] sorendam1 reached 42 CPS, VL=4
[20-11-2018 17:22:58] sorendam1 reached 18 CPS, VL=1
[20-11-2018 17:23:00] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:23:01] sorendam1 reached 26 CPS, VL=2
[20-11-2018 17:23:02] sorendam1 reached 18 CPS, VL=3
[20-11-2018 17:23:03] sorendam1 reached 21 CPS, VL=4
[20-11-2018 17:23:04] sorendam1 reached 19 CPS, VL=1
[20-11-2018 17:23:05] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:23:06] sorendam1 reached 20 CPS, VL=3
[20-11-2018 17:23:07] sorendam1 reached 27 CPS, VL=4
[20-11-2018 17:23:08] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:23:09] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:23:11] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:23:12] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:23:13] sorendam1 reached 28 CPS, VL=3
[20-11-2018 17:23:14] sorendam1 reached 29 CPS, VL=4
[20-11-2018 17:23:19] sorendam1 reached 25 CPS, VL=1
