[18-11-2018 17:15:42] ZebraDk reached 31 CPS, VL=1
[18-11-2018 17:17:10] BlakeIsDolan reached 21 CPS, VL=1
[18-11-2018 17:23:17] HeavyGeden reached 18 CPS, VL=1
[18-11-2018 17:35:49] ZytrexDK reached 20 CPS, VL=1
[18-11-2018 17:37:57] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:38:08] NeoPixelHD reached 20 CPS, VL=1
[18-11-2018 17:38:08] Gustavsolsen reached 27 CPS, VL=1
[18-11-2018 17:38:08] Daniel_Fischer reached 22 CPS, VL=1
[18-11-2018 17:40:38] ZebraDk reached 20 CPS, VL=1
[18-11-2018 17:40:40] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:44:24] DenGodeLasagne reached 18 CPS, VL=1
[18-11-2018 17:44:55] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:44:57] ZebraDk reached 20 CPS, VL=1
[18-11-2018 17:44:58] ZebraDk reached 21 CPS, VL=2
[18-11-2018 17:44:59] ZebraDk reached 18 CPS, VL=3
[18-11-2018 17:46:12] ZebraDk reached 19 CPS, VL=1
[18-11-2018 17:46:13] ZebraDk reached 21 CPS, VL=2
[18-11-2018 17:47:32] ZebraDk reached 19 CPS, VL=1
[18-11-2018 17:48:13] DenGodeLasagne reached 29 CPS, VL=1
[18-11-2018 17:54:58] ZytrexDK reached 18 CPS, VL=1
[18-11-2018 17:57:26] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:58:16] ShinyPraizes reached 20 CPS, VL=1
[18-11-2018 17:58:16] ZytrexDK reached 23 CPS, VL=1
[18-11-2018 17:58:51] ZebraDk reached 21 CPS, VL=1
[18-11-2018 17:58:52] ZebraDk reached 20 CPS, VL=2
[18-11-2018 17:59:14] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:59:16] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:59:17] ZebraDk reached 20 CPS, VL=2
[18-11-2018 17:59:30] ZebraDk reached 20 CPS, VL=1
[18-11-2018 18:03:18] SkyKillOficial reached 26 CPS, VL=1
[18-11-2018 18:07:03] Cr4zyD3rp reached 18 CPS, VL=1
[18-11-2018 18:58:28] NeoPixelHD reached 18 CPS, VL=1
[18-11-2018 18:58:28] mifaerne reached 24 CPS, VL=1
[18-11-2018 19:01:42] anderson207133 reached 19 CPS, VL=1
[18-11-2018 19:03:29] Cr4zyD3rp reached 18 CPS, VL=1
[18-11-2018 19:15:17] xXTopsXx reached 18 CPS, VL=1
[18-11-2018 19:17:46] xXTopsXx reached 18 CPS, VL=1
[18-11-2018 19:17:47] xXTopsXx reached 18 CPS, VL=2
[18-11-2018 19:18:35] DenGodeLasagne reached 18 CPS, VL=1
[18-11-2018 19:23:36] Zaunnor reached 20 CPS, VL=1
[18-11-2018 19:32:51] xS1las reached 18 CPS, VL=1
