[21-11-2018 16:54:51] chokokagen reached 20 CPS, VL=2
[21-11-2018 16:54:51] thor_bjoernen reached 27 CPS, VL=2
[21-11-2018 16:54:51] Itzpandapvpmc reached 35 CPS, VL=2
[21-11-2018 16:54:51] Tobi2006Rex reached 20 CPS, VL=2
[21-11-2018 16:54:58] overdosegod reached 37 CPS, VL=1
[21-11-2018 16:54:58] Itzpandapvpmc reached 23 CPS, VL=3
[21-11-2018 16:54:58] PatrickKopp reached 23 CPS, VL=1
[21-11-2018 16:55:17] Itzpandapvpmc reached 26 CPS, VL=1
[21-11-2018 16:55:37] xXGrisXx reached 74 CPS, VL=1
[21-11-2018 16:55:37] thor_bjoernen reached 34 CPS, VL=1
[21-11-2018 16:55:37] NewMatz_ reached 27 CPS, VL=1
[21-11-2018 16:55:37] DumDreng reached 35 CPS, VL=1
[21-11-2018 16:55:37] Itzpandapvpmc reached 38 CPS, VL=1
[21-11-2018 16:55:37] Fru_Freya reached 35 CPS, VL=1
[21-11-2018 16:55:37] SandziMC reached 20 CPS, VL=1
[21-11-2018 16:55:56] DumDreng reached 21 CPS, VL=1
[21-11-2018 16:56:05] DumDreng reached 27 CPS, VL=1
[21-11-2018 16:56:05] Itzpandapvpmc reached 32 CPS, VL=1
[21-11-2018 16:56:05] PatrickKopp reached 25 CPS, VL=1
[21-11-2018 16:56:12] DumDreng reached 21 CPS, VL=1
[21-11-2018 16:56:12] Itzpandapvpmc reached 34 CPS, VL=1
[21-11-2018 16:56:26] chokokagen reached 34 CPS, VL=1
[21-11-2018 16:56:26] thor_bjoernen reached 79 CPS, VL=1
[21-11-2018 16:56:26] NewMatz_ reached 52 CPS, VL=1
[21-11-2018 16:56:26] DumDreng reached 69 CPS, VL=2
[21-11-2018 16:56:26] andreasplays45 reached 36 CPS, VL=1
[21-11-2018 16:56:26] Itzpandapvpmc reached 106 CPS, VL=2
[21-11-2018 16:56:26] PatrickKopp reached 80 CPS, VL=1
[21-11-2018 16:56:26] Fru_Freya reached 26 CPS, VL=1
[21-11-2018 16:56:26] SandziMC reached 25 CPS, VL=1
[21-11-2018 16:56:26] OhError reached 29 CPS, VL=1
[21-11-2018 16:56:30] thor_bjoernen reached 18 CPS, VL=2
[21-11-2018 16:56:30] SandziMC reached 19 CPS, VL=2
[21-11-2018 16:56:38] thor_bjoernen reached 26 CPS, VL=1
[21-11-2018 16:56:38] Itzpandapvpmc reached 36 CPS, VL=1
[21-11-2018 16:56:52] MarkEscobar reached 27 CPS, VL=1
[21-11-2018 16:56:54] sorendam1 reached 24 CPS, VL=1
[21-11-2018 16:56:58] MarkEscobar reached 19 CPS, VL=1
[21-11-2018 16:56:58] DumDreng reached 20 CPS, VL=1
[21-11-2018 16:56:58] Itzpandapvpmc reached 23 CPS, VL=1
[21-11-2018 16:56:58] PatrickKopp reached 19 CPS, VL=1
[21-11-2018 16:56:58] Fru_Freya reached 21 CPS, VL=1
[21-11-2018 16:56:58] sorendam1 reached 45 CPS, VL=2
[21-11-2018 16:56:59] sorendam1 reached 20 CPS, VL=3
